x,y,depth,temperature,pressure
4834.088875,51.544531250000006,2141.76165,87.940819,215.85747
4855.219725,96.85992075000001,2140.8789000000006,87.911812,215.77092
4876.350575,142.1753075,2141.1222249999996,87.919861,215.79021
4897.48155,187.490695,2142.4257,87.963509,215.90929
4918.61265,232.80608750000002,2144.260875,88.024712,216.07939
4939.74365,278.12148,2146.0950000000003,88.086052,216.24973
4960.874525,323.436865,2147.6463000000003,88.138321,216.39325
4982.005375,368.75224749999995,2149.2023625,88.191238,216.53821
5003.136225,414.06764,2152.0446125000003,88.287041,216.80655
5024.267075000001,459.3830325,2156.952575,88.450829,217.27216
5045.39795,504.6984175,2162.51215,88.636971,217.79987
5066.528824999999,550.0138099999999,2169.2252875000004,88.829239,218.43872
5193.31445,821.90614,2085.6553624999997,86.090454,210.36882
5214.445325000001,867.2215400000001,2088.11725,86.172188,210.6008
5235.576174999999,912.536925,2090.6666499999997,86.230545,210.84068
5256.707025,957.8523100000001,2093.7255875,86.333916,211.13011
5277.838,1003.1677050000001,2096.9799875,86.442421,211.43828
5298.9691250000005,1048.4831,2099.56775,86.528992,211.68251
5320.1001,1093.798475,2100.9352125,86.575508,211.81053
5341.23095,1139.1138500000002,2101.5185249999995,86.594818,211.86327
5362.361825,1184.429275,2101.348325,86.58931,211.84322
5383.492675,1229.744675,2100.6337375,86.566292,211.7706
5404.623525,1275.060025,2103.1630875,86.650055,212.00853
5425.754375,1320.375425,2111.088675,86.913361,212.76305
5446.885249999999,1365.690825,2121.5203125,87.261192,213.75749
5468.016124999999,1411.0062000000003,2132.357025,87.622978,214.79077
5489.147225,1456.3216,2142.853875,87.973839,215.79169
5510.278325,1501.636975,2153.2888625,88.323479,216.78651
5531.409174999999,1546.9523749999998,2163.9223000000006,88.679184,217.8002
5552.54005,1592.2678,2174.1156875,89.020966,218.77208
5573.670900000001,1637.583175,2182.9092625,89.315399,219.61005
5594.80175,1682.89855,2190.05695,89.555779,220.28999
5615.9326249999995,1728.2139499999998,2196.3059125,89.764656,220.88408
5637.063475000001,1773.5293250000002,2202.0340625000003,89.956985,221.42863
5658.19435,1818.844725,2206.7121125000003,90.116768,221.87274
5679.32545,1864.1601249999999,2210.15445,90.233696,222.19925
5700.45655,1909.475475,2213.3473124999996,90.340416,222.50229
5721.5874,1954.790875,2217.4666,90.479439,222.89404
5742.71825,2000.1063,2224.7662875,90.722557,223.59029
5763.849125000001,2045.421675,2234.3358500000004,91.041458,224.50378
5784.979975,2090.7370499999997,2243.0340499999998,91.333138,225.33414
5806.11085,2136.0524749999995,2250.6058375000002,91.586327,226.05652
5827.2417000000005,2181.3678750000004,2256.9391250000003,91.799385,226.66008
5848.37255,2226.683175,2262.1271625,91.973457,227.15405
5869.503674999999,2271.998525,2266.6142875,92.12384,227.58081
5890.634775,2317.3139499999997,2271.2550125,92.279564,228.02171
5911.765625000001,2362.629375,2277.7923,92.497047,228.64359
5932.896475,2407.944825,2286.212675,92.777237,229.4455
5954.02735,2453.2602,2295.6825500000004,93.092789,230.34799
5975.158200000001,2498.57555,2305.3963125,93.417496,231.27393
5996.289049999999,2543.890925,2314.6590875,93.728424,232.15656
6017.419924999999,2589.2063000000003,2323.681,94.031204,233.0159
6038.550775,2634.521725,2332.4093749999997,94.324326,233.84677
6059.681750000001,2679.8371500000003,2340.4135749999996,94.593666,234.60831
6080.81285,2725.1525,2348.713475,94.872749,235.39795
6101.94385,2770.4679000000006,2358.149075,95.188797,236.29477
6123.074725,2815.7832750000007,2367.3962874999997,95.498672,237.17284
6144.205574999999,2861.0986250000005,2376.2515375,95.795082,238.01346
6165.3364249999995,2906.4140500000003,2385.6675124999997,96.109871,238.90733
6186.467275000001,2951.7294750000005,2395.2393875,96.430603,239.81563
6207.59815,2997.044875,2404.299925,96.734756,240.67439
6228.729000000001,3042.3602500000006,2413.7897875,97.052948,241.57288
6249.859975,3087.6756000000005,2424.6997875,97.41864,242.60413
6270.9911,3132.990975,2437.1950375,97.837547,243.784
6292.122075000001,3178.3064000000004,2451.5843125,98.319504,245.14351
6313.252925000001,3223.621825,2467.149825,98.840034,246.61661
6334.383775,3268.9372000000003,2480.1835625000003,99.275665,247.84917
6355.51465,3314.25255,2486.7979125,99.497612,248.46964
6376.645525000001,3359.5679250000003,2488.27465,99.548729,248.60199
6397.7763749999995,3404.8833000000004,2490.9610249999996,99.638405,248.85124
6418.907225,3450.1987250000006,2498.4274374999995,99.885826,249.5571
6440.038199999999,3495.5141500000004,2507.8178374999998,100.19965,250.44604
6461.1693000000005,3540.8295000000003,2517.167625,100.51354,251.32977
6482.300275,3586.1449000000002,2526.3742625,100.82197,252.19751
6503.43115,3631.4602750000004,2534.6589625,101.09977,252.97638
6524.562025,3676.775625,2541.9876,101.3459,253.6633
6545.692874999999,3722.0910500000005,2548.7762000000002,101.57368,254.29813
6566.823724999999,3767.4064750000002,2555.425775,101.79681,254.91798
6587.954575,3812.721875,2562.6523125000003,102.03977,255.59109
6609.08545,3858.0372500000003,2571.7067875000002,102.34294,256.43997
6630.21645,3903.3526,2581.210675,102.66052,257.33121
6651.34755,3948.6679750000003,2590.206,102.96213,258.17386
6672.478525,3993.9834,2600.4323875,103.30359,259.13516
6693.609374999999,4039.2988250000003,2611.7495875,103.68104,260.20114
6714.740225,4084.61425,2621.8928375000005,104.0206,261.15668
6735.871074999999,4129.929675,2629.576375,104.27928,261.87698
6757.00195,4175.245125,2635.2952499999997,104.47231,262.40765
6778.132825000001,4220.56055,2640.4348375,104.64508,262.88141
